,0,1,2,3,4,5,6,7,8
0,1,,Afghanistan,33.0,65.0,2020-01-22,0.0,0.0,0.0
1,2,,Afghanistan,33.0,65.0,2020-01-23,0.0,0.0,0.0
2,3,,Afghanistan,33.0,65.0,2020-01-24,0.0,0.0,0.0
3,4,,Afghanistan,33.0,65.0,2020-01-25,0.0,0.0,0.0
4,5,,Afghanistan,33.0,65.0,2020-01-26,0.0,0.0,0.0
5,6,,Afghanistan,33.0,65.0,2020-01-27,0.0,0.0,0.0
6,7,,Afghanistan,33.0,65.0,2020-01-28,0.0,0.0,0.0
7,8,,Afghanistan,33.0,65.0,2020-01-29,0.0,0.0,0.0
8,9,,Afghanistan,33.0,65.0,2020-01-30,0.0,0.0,0.0
9,10,,Afghanistan,33.0,65.0,2020-01-31,0.0,0.0,0.0
10,11,,Afghanistan,33.0,65.0,2020-02-01,0.0,0.0,0.0
11,12,,Afghanistan,33.0,65.0,2020-02-02,0.0,0.0,0.0
12,13,,Afghanistan,33.0,65.0,2020-02-03,0.0,0.0,0.0
13,14,,Afghanistan,33.0,65.0,2020-02-04,0.0,0.0,0.0
14,15,,Afghanistan,33.0,65.0,2020-02-05,0.0,0.0,0.0
15,16,,Afghanistan,33.0,65.0,2020-02-06,0.0,0.0,0.0
16,17,,Afghanistan,33.0,65.0,2020-02-07,0.0,0.0,0.0
17,18,,Afghanistan,33.0,65.0,2020-02-08,0.0,0.0,0.0
18,19,,Afghanistan,33.0,65.0,2020-02-09,0.0,0.0,0.0
19,20,,Afghanistan,33.0,65.0,2020-02-10,0.0,0.0,0.0
20,21,,Afghanistan,33.0,65.0,2020-02-11,0.0,0.0,0.0
21,22,,Afghanistan,33.0,65.0,2020-02-12,0.0,0.0,0.0
22,23,,Afghanistan,33.0,65.0,2020-02-13,0.0,0.0,0.0
23,24,,Afghanistan,33.0,65.0,2020-02-14,0.0,0.0,0.0
24,25,,Afghanistan,33.0,65.0,2020-02-15,0.0,0.0,0.0
25,26,,Afghanistan,33.0,65.0,2020-02-16,0.0,0.0,0.0
26,27,,Afghanistan,33.0,65.0,2020-02-17,0.0,0.0,0.0
27,28,,Afghanistan,33.0,65.0,2020-02-18,0.0,0.0,0.0
28,29,,Afghanistan,33.0,65.0,2020-02-19,0.0,0.0,0.0
29,30,,Afghanistan,33.0,65.0,2020-02-20,0.0,0.0,0.0
30,31,,Afghanistan,33.0,65.0,2020-02-21,0.0,0.0,0.0
31,32,,Afghanistan,33.0,65.0,2020-02-22,0.0,0.0,0.0
32,33,,Afghanistan,33.0,65.0,2020-02-23,0.0,0.0,0.0
33,34,,Afghanistan,33.0,65.0,2020-02-24,1.0,0.0,0.0
34,35,,Afghanistan,33.0,65.0,2020-02-25,1.0,0.0,0.0
35,36,,Afghanistan,33.0,65.0,2020-02-26,1.0,0.0,0.0
36,37,,Afghanistan,33.0,65.0,2020-02-27,1.0,0.0,0.0
37,38,,Afghanistan,33.0,65.0,2020-02-28,1.0,0.0,0.0
38,39,,Afghanistan,33.0,65.0,2020-02-29,1.0,0.0,0.0
39,40,,Afghanistan,33.0,65.0,2020-03-01,1.0,0.0,0.0
40,41,,Afghanistan,33.0,65.0,2020-03-02,1.0,0.0,0.0
41,42,,Afghanistan,33.0,65.0,2020-03-03,1.0,0.0,0.0
42,43,,Afghanistan,33.0,65.0,2020-03-04,1.0,0.0,0.0
43,44,,Afghanistan,33.0,65.0,2020-03-05,1.0,0.0,0.0
44,45,,Afghanistan,33.0,65.0,2020-03-06,1.0,0.0,0.0
45,46,,Afghanistan,33.0,65.0,2020-03-07,1.0,0.0,0.0
46,47,,Afghanistan,33.0,65.0,2020-03-08,4.0,0.0,0.0
47,48,,Afghanistan,33.0,65.0,2020-03-09,4.0,0.0,0.0
48,49,,Afghanistan,33.0,65.0,2020-03-10,5.0,0.0,0.0
49,50,,Afghanistan,33.0,65.0,2020-03-11,7.0,0.0,0.0
50,51,,Afghanistan,33.0,65.0,2020-03-12,7.0,0.0,0.0
51,52,,Afghanistan,33.0,65.0,2020-03-13,7.0,0.0,0.0
52,53,,Afghanistan,33.0,65.0,2020-03-14,11.0,0.0,0.0
53,54,,Afghanistan,33.0,65.0,2020-03-15,16.0,0.0,0.0
54,55,,Afghanistan,33.0,65.0,2020-03-16,21.0,0.0,0.0
55,56,,Afghanistan,33.0,65.0,2020-03-17,22.0,0.0,0.0
56,57,,Afghanistan,33.0,65.0,2020-03-18,22.0,0.0,0.0
57,58,,Afghanistan,33.0,65.0,2020-03-19,22.0,0.0,0.0
58,59,,Afghanistan,33.0,65.0,2020-03-20,24.0,0.0,0.0
59,94,,Albania,41.1533,20.1683,2020-01-22,0.0,0.0,0.0
60,95,,Albania,41.1533,20.1683,2020-01-23,0.0,0.0,0.0
61,96,,Albania,41.1533,20.1683,2020-01-24,0.0,0.0,0.0
62,97,,Albania,41.1533,20.1683,2020-01-25,0.0,0.0,0.0
63,98,,Albania,41.1533,20.1683,2020-01-26,0.0,0.0,0.0
64,99,,Albania,41.1533,20.1683,2020-01-27,0.0,0.0,0.0
65,100,,Albania,41.1533,20.1683,2020-01-28,0.0,0.0,0.0
66,101,,Albania,41.1533,20.1683,2020-01-29,0.0,0.0,0.0
67,102,,Albania,41.1533,20.1683,2020-01-30,0.0,0.0,0.0
68,103,,Albania,41.1533,20.1683,2020-01-31,0.0,0.0,0.0
69,104,,Albania,41.1533,20.1683,2020-02-01,0.0,0.0,0.0
70,105,,Albania,41.1533,20.1683,2020-02-02,0.0,0.0,0.0
71,106,,Albania,41.1533,20.1683,2020-02-03,0.0,0.0,0.0
72,107,,Albania,41.1533,20.1683,2020-02-04,0.0,0.0,0.0
73,108,,Albania,41.1533,20.1683,2020-02-05,0.0,0.0,0.0
74,109,,Albania,41.1533,20.1683,2020-02-06,0.0,0.0,0.0
75,110,,Albania,41.1533,20.1683,2020-02-07,0.0,0.0,0.0
76,111,,Albania,41.1533,20.1683,2020-02-08,0.0,0.0,0.0
77,112,,Albania,41.1533,20.1683,2020-02-09,0.0,0.0,0.0
78,113,,Albania,41.1533,20.1683,2020-02-10,0.0,0.0,0.0
79,114,,Albania,41.1533,20.1683,2020-02-11,0.0,0.0,0.0
80,115,,Albania,41.1533,20.1683,2020-02-12,0.0,0.0,0.0
81,116,,Albania,41.1533,20.1683,2020-02-13,0.0,0.0,0.0
82,117,,Albania,41.1533,20.1683,2020-02-14,0.0,0.0,0.0
83,118,,Albania,41.1533,20.1683,2020-02-15,0.0,0.0,0.0
84,119,,Albania,41.1533,20.1683,2020-02-16,0.0,0.0,0.0
85,120,,Albania,41.1533,20.1683,2020-02-17,0.0,0.0,0.0
86,121,,Albania,41.1533,20.1683,2020-02-18,0.0,0.0,0.0
87,122,,Albania,41.1533,20.1683,2020-02-19,0.0,0.0,0.0
88,123,,Albania,41.1533,20.1683,2020-02-20,0.0,0.0,0.0
89,124,,Albania,41.1533,20.1683,2020-02-21,0.0,0.0,0.0
